zona,grupo_uso,subgrupo,permissao,condicionante_ref,base_legal
ZPR 2,ID1,ID1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,ID1,ID1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,ID1,ID1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,ID1,ID1-02,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,ID1,ID1-02,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,ID1,ID1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,ID1,ID1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,ID1,ID1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,ID1,ID1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,ID1,ID1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,ID1,ID1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,ID1,ID1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,ID1,ID1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,ID1,ID1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,ID1,ID1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,ID1,ID1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,ID1,ID1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,ID1,ID1-02,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,ID1,ID1-02,N,,Lei nº 9.148/2016 — Quadro 10
ZIT,ID1,ID1-02,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,ID1,ID1-11,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,ID1,ID1-11,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,ID1,ID1-11,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,ID1,ID1-11,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,ID1,ID1-11,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,ID1,ID1-11,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,ID1,ID1-11,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,ID1,ID1-11,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,ID1,ID1-11,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,ID1,ID1-11,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,ID1,ID1-11,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,ID1,ID1-11,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,ID1,ID1-11,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,ID1,ID1-11,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,ID1,ID1-11,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,ID1,ID1-11,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,ID1,ID1-11,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,ID1,ID1-11,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,ID1,ID1-11,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,ID1,ID1-11,N,,Lei nº 9.148/2016 — Quadro 10
ZIT,ID1,ID1-11,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,ID1,ID1-12,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,ID1,ID1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,ID1,ID1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,ID1,ID1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,ID1,ID1-12,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,ID1,ID1-12,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,ID1,ID1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,ID1,ID1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,ID1,ID1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,ID1,ID1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,ID1,ID1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,ID1,ID1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,ID1,ID1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,ID1,ID1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,ID1,ID1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,ID1,ID1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,ID1,ID1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,ID1,ID1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,ID1,ID1-12,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,ID1,ID1-12,N,,Lei nº 9.148/2016 — Quadro 10
ZIT,ID1,ID1-12,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,ID1,ID1-14,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,ID1,ID1-14,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,ID1,ID1-14,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,ID1,ID1-14,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,ID1,ID1-14,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,ID1,ID1-14,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,ID1,ID1-14,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,ID1,ID1-14,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,ID1,ID1-14,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,ID1,ID1-14,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,ID1,ID1-14,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,ID1,ID1-14,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,ID1,ID1-14,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,ID1,ID1-14,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,ID1,ID1-14,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,ID1,ID1-14,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,ID1,ID1-14,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,ID1,ID1-14,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,ID1,ID1-14,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,ID1,ID1-14,N,,Lei nº 9.148/2016 — Quadro 10
ZIT,ID1,ID1-14,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,ID1,ID1-16,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,ID1,ID1-16,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,ID1,ID1-16,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,ID1,ID1-16,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,ID1,ID1-16,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,ID1,ID1-16,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,ID1,ID1-16,S,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,ID1,ID1-16,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,ID1,ID1-16,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,ID1,ID1-16,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,ID1,ID1-16,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,ID1,ID1-16,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,ID1,ID1-16,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,ID1,ID1-16,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,ID1,ID1-16,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,ID1,ID1-16,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,ID1,ID1-16,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,ID1,ID1-16,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,ID1,ID1-16,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,ID1,ID1-16,N,,Lei nº 9.148/2016 — Quadro 10
ZIT,ID1,ID1-16,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,ID2,ID2-05,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,ID2,ID2-05,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,ID2,ID2-05,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,ID2,ID2-05,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,ID2,ID2-05,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,ID2,ID2-05,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,ID2,ID2-05,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,ID2,ID2-05,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,ID2,ID2-05,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,ID2,ID2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,ID2,ID2-05,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,ID2,ID2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,ID2,ID2-05,N,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,ID2,ID2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,ID2,ID2-05,S(A),,Lei nº 9.148/2016 — Quadro 10
ZCLMe,ID2,ID2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,ID2,ID2-05,S(B),,Lei nº 9.148/2016 — Quadro 10
ZDE 1,ID2,ID2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,ID2,ID2-05,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,ID2,ID2-05,N,,Lei nº 9.148/2016 — Quadro 10
ZIT,ID2,ID2-05,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,ID2,ID2-06,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,ID2,ID2-06,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,ID2,ID2-06,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,ID2,ID2-06,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,ID2,ID2-06,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,ID2,ID2-06,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,ID2,ID2-06,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,ID2,ID2-06,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,ID2,ID2-06,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,ID2,ID2-06,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,ID2,ID2-06,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,ID2,ID2-06,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,ID2,ID2-06,N,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,ID2,ID2-06,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,ID2,ID2-06,S(A),,Lei nº 9.148/2016 — Quadro 10
ZCLMe,ID2,ID2-06,N,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,ID2,ID2-06,S(B),,Lei nº 9.148/2016 — Quadro 10
ZDE 1,ID2,ID2-06,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,ID2,ID2-06,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,ID2,ID2-06,N,,Lei nº 9.148/2016 — Quadro 10
ZIT,ID2,ID2-06,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,ID2,ID2-07,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,ID2,ID2-07,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,ID2,ID2-07,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,ID2,ID2-07,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,ID2,ID2-07,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,ID2,ID2-07,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,ID2,ID2-07,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,ID2,ID2-07,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,ID2,ID2-07,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,ID2,ID2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,ID2,ID2-07,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,ID2,ID2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,ID2,ID2-07,N,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,ID2,ID2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,ID2,ID2-07,S(A),,Lei nº 9.148/2016 — Quadro 10
ZCLMe,ID2,ID2-07,N,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,ID2,ID2-07,S(B),,Lei nº 9.148/2016 — Quadro 10
ZDE 1,ID2,ID2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,ID2,ID2-07,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,ID2,ID2-07,N,,Lei nº 9.148/2016 — Quadro 10
ZIT,ID2,ID2-07,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,ID2,ID2-09,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,ID2,ID2-09,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,ID2,ID2-09,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,ID2,ID2-09,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,ID2,ID2-09,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,ID2,ID2-09,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,ID2,ID2-09,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,ID2,ID2-09,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,ID2,ID2-09,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,ID2,ID2-09,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,ID2,ID2-09,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,ID2,ID2-09,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,ID2,ID2-09,N,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,ID2,ID2-09,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,ID2,ID2-09,S(A),,Lei nº 9.148/2016 — Quadro 10
ZCLMe,ID2,ID2-09,N,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,ID2,ID2-09,S(B),,Lei nº 9.148/2016 — Quadro 10
ZDE 1,ID2,ID2-09,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,ID2,ID2-09,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,ID2,ID2-09,N,,Lei nº 9.148/2016 — Quadro 10
ZIT,ID2,ID2-09,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,ID2,ID2-11,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,ID2,ID2-11,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,ID2,ID2-11,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,ID2,ID2-11,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,ID2,ID2-11,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,ID2,ID2-11,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,ID2,ID2-11,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,ID2,ID2-11,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,ID2,ID2-11,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,ID2,ID2-11,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,ID2,ID2-11,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,ID2,ID2-11,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,ID2,ID2-11,N,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,ID2,ID2-11,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,ID2,ID2-11,S(A),,Lei nº 9.148/2016 — Quadro 10
ZCLMe,ID2,ID2-11,N,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,ID2,ID2-11,S(B),,Lei nº 9.148/2016 — Quadro 10
ZDE 1,ID2,ID2-11,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,ID2,ID2-11,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,ID2,ID2-11,N,,Lei nº 9.148/2016 — Quadro 10
ZIT,ID2,ID2-11,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,ID2,ID2-12,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,ID2,ID2-12,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,ID2,ID2-12,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,ID2,ID2-12,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,ID2,ID2-12,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,ID2,ID2-12,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,ID2,ID2-12,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,ID2,ID2-12,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,ID2,ID2-12,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,ID2,ID2-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,ID2,ID2-12,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,ID2,ID2-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,ID2,ID2-12,N,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,ID2,ID2-12,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,ID2,ID2-12,S(A),,Lei nº 9.148/2016 — Quadro 10
ZCLMe,ID2,ID2-12,N,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,ID2,ID2-12,S(B),,Lei nº 9.148/2016 — Quadro 10
ZDE 1,ID2,ID2-12,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,ID2,ID2-12,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,ID2,ID2-12,N,,Lei nº 9.148/2016 — Quadro 10
ZIT,ID2,ID2-12,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,ID2,ID2-15,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,ID2,ID2-15,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,ID2,ID2-15,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,ID2,ID2-15,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,ID2,ID2-15,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,ID2,ID2-15,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,ID2,ID2-15,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,ID2,ID2-15,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,ID2,ID2-15,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,ID2,ID2-15,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,ID2,ID2-15,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,ID2,ID2-15,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,ID2,ID2-15,N,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,ID2,ID2-15,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,ID2,ID2-15,S(A),,Lei nº 9.148/2016 — Quadro 10
ZCLMe,ID2,ID2-15,N,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,ID2,ID2-15,S(B),,Lei nº 9.148/2016 — Quadro 10
ZDE 1,ID2,ID2-15,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,ID2,ID2-15,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,ID2,ID2-15,N,,Lei nº 9.148/2016 — Quadro 10
ZIT,ID2,ID2-15,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,ID2,ID2-18,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,ID2,ID2-18,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,ID2,ID2-18,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,ID2,ID2-18,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,ID2,ID2-18,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,ID2,ID2-18,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,ID2,ID2-18,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,ID2,ID2-18,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,ID2,ID2-18,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,ID2,ID2-18,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,ID2,ID2-18,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,ID2,ID2-18,S,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,ID2,ID2-18,N,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,ID2,ID2-18,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,ID2,ID2-18,S(A),,Lei nº 9.148/2016 — Quadro 10
ZCLMe,ID2,ID2-18,N,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,ID2,ID2-18,S(B),,Lei nº 9.148/2016 — Quadro 10
ZDE 1,ID2,ID2-18,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,ID2,ID2-18,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,ID2,ID2-18,N,,Lei nº 9.148/2016 — Quadro 10
ZIT,ID2,ID2-18,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,ID3,ID3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,ID3,ID3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,ID3,ID3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,ID3,ID3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,ID3,ID3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,ID3,ID3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,ID3,ID3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,ID3,ID3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,ID3,ID3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,ID3,ID3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,ID3,ID3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,ID3,ID3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,ID3,ID3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,ID3,ID3-01,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,ID3,ID3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,ID3,ID3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,ID3,ID3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,ID3,ID3-01,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,ID3,ID3-01,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,ID3,ID3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZIT,ID3,ID3-01,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,ID3,ID3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,ID3,ID3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,ID3,ID3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,ID3,ID3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,ID3,ID3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,ID3,ID3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,ID3,ID3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,ID3,ID3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,ID3,ID3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,ID3,ID3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,ID3,ID3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,ID3,ID3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,ID3,ID3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,ID3,ID3-02,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,ID3,ID3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,ID3,ID3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZCLMu,ID3,ID3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZDE 1,ID3,ID3-02,S,,Lei nº 9.148/2016 — Quadro 10
ZDE 2,ID3,ID3-02,S,,Lei nº 9.148/2016 — Quadro 10
ZUSI,ID3,ID3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZIT,ID3,ID3-02,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 1,ID3,ID3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 2,ID3,ID3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZPR 3,ID3,ID3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 1,ID3,ID3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 2,ID3,ID3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 3,ID3,ID3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 4,ID3,ID3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZEIS 5,ID3,ID3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/01,ID3,ID3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/02,ID3,ID3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 1/03,ID3,ID3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe 2,ID3,ID3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZCMe - CA,ID3,ID3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZCMu 1 - IPITANGA,ID3,ID3-03,S,,Lei nº 9.148/2016 — Quadro 10
ZCMu 2,ID3,ID3-03,N,,Lei nº 9.148/2016 — Quadro 10
ZCLMe,ID3,ID3-03,N,,Lei nº 9.148/2016 — Quadro 10
