cnae,descricao,condicionantes,risco_municipal_unificado
4751-2/02,Recarga de cartuchos para equipamentos de informática,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4752-1/00,Comércio varejista especializado de equipamentos de telefonia e comunicação,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4753-9/00,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4754-7/01,Comércio varejista de móveis,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4754-7/02,Comércio varejista de artigos de colchoaria,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4754-7/03,Comércio varejista de artigos de iluminação,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4755-5/01,Comércio varejista de tecidos,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4755-5/02,Comercio varejista de artigos de armarinho,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4755-5/03,"Comercio varejista de artigos de cama, mesa e banho","- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4756-3/00,Comércio varejista especializado de instrumentos musicais e acessórios,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4757-1/00,"Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação","- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4759-8/01,"Comércio varejista de artigos de tapeçaria, cortinas e persianas","- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4759-8/99,Comércio varejista de outros artigos de uso doméstico não especificados anteriormente,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4761-0/01,Comércio varejista de livros,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4761-0/02,Comércio varejista de jornais e revistas,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4761-0/03,Comércio varejista de artigos de papelaria,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4762-8/00,"Comércio varejista de discos, CDs, DVDs e fitas","- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4763-6/01,Comércio varejista de brinquedos e artigos recreativos,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4763-6/02,Comércio varejista de artigos esportivos,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4763-6/03,Comércio varejista de bicicletas e triciclos; peças e acessórios,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4763-6/04,"Comércio varejista de artigos de caça, pesca e camping","- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4763-6/05,Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4771-7/04,Comércio varejista de medicamentos veterinários,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4772-5/00,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal","- Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4781-4/00,Comércio varejista de artigos do vestuário e acessórios,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4782-2/01,Comércio varejista de calçados,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4782-2/02,Comércio varejista de artigos de viagem,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4783-1/01,Comércio varejista de artigos de joalheria,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4783-1/02,Comércio varejista de artigos de relojoaria,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4785-7/01,Comércio varejista de antiguidades,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4785-7/99,Comércio varejista de outros artigos usados,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4789-0/01,"Comércio varejista de suvenires, bijuterias e artesanatos","- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4789-0/02,Comércio varejista de plantas e flores naturais,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4789-0/03,Comércio varejista de objetos de arte,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4789-0/07,Comércio varejista de equipamentos para escritório,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4789-0/08,Comércio varejista de artigos fotográficos e para filmagem,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4924-8/00,Transporte escolar,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4929-9/03,"Organização de excursões em veículos rodoviários próprios, municipal","- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4929-9/04,"Organização de excursões em veículos rodoviários próprios, intermunicipal, interestadual e internacional","- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4940-0/00,Transporte dutoviário,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
4950-7/00,"Trens turísticos, teleféricos e similares","- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5011-4/01,Transporte marítimo de cabotagem - Carga,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5011-4/02,Transporte marítimo de cabotagem - Passageiros,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5012-2/01,Transporte marítimo de longo curso - Carga,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5012-2/02,Transporte marítimo de longo curso - Passageiros,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5021-1/01,"Transporte por navegação interior de carga, municipal, exceto travessia","- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5021-1/02,"Transporte por navegação interior de carga, intermunicipal, interestadual e internacional, exceto travessia","- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5022-0/01,"Transporte por navegação interior de passageiros em linhas regulares, municipal, exceto travessia","- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5022-0/02,"Transporte por navegação interior de passageiros em linhas regulares, intermunicipal, interestadual e internacional, exceto travessia","- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5030-1/01,Navegação de apoio marítimo,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5030-1/02,Navegação de apoio portuário,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5030-1/03,Serviço de rebocadores e empurradores,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5091-2/01,"Transporte por navegação de travessia, municipal","- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5091-2/02,"Transporte por navegação de travessia, intermunicipal, interestadual e internacional","- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5099-8/01,Transporte aquaviário para passeios turísticos,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5099-8/99,Outros transportes aquaviários não especificados anteriormente,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5111-1/00,Transporte aéreo de passageiros regular,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5112-9/01,Serviço de táxi aéreo e locação de aeronaves com tripulação,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5112-9/99,Outros serviços de transporte aéreo de passageiros não regular,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5120-0/00,Transporte aéreo de carga,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5130-7/00,Transporte espacial,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5229-0/01,"Serviços de apoio ao transporte por táxi, inclusive centrais de chamada","- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5229-0/02,Serviços de reboque de veículos,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5229-0/99,Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5231-1/01,Administração da infraestrutura portuária,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
5231-1/02,Atividades do Operador Portuário,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
5231-1/03,Gestão de terminais aquaviários,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados)",BAIXO A
5232-0/00,Atividades de agenciamento marítimo,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5239-7/01,Serviços de praticagem,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5239-7/99,Atividades auxiliares dos transportes aquaviários não especificadas anteriormente,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5240-1/01,Operação dos aeroportos e campos de aterrissagem,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5250-8/04,Organização logística do transporte de carga,"- - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5590-6/03,Pensões (alojamento),"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (setecentos e cinquenta metros quadrados)",BAIXO A
5612-1/00,Serviços ambulantes de alimentação,"SOMENTE quando for venda de alimentos preparados em máquinas de serviços automáticas; | - Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 750m² (setecentos e cinquenta metros quadrados)",BAIXO A
5620-1/04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (setecentos e cinquenta metros quadrados)",BAIXO A
5811-5/00,Edição de livros,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5812-3/01,Edição de jornais diários,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5812-3/02,Edição de jornais não diários,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5813-1/00,Edição de revistas,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5819-1/00,"Edição de cadastros, listas e outros produtos gráficos","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5821-2/00,Edição integrada à impressão de livros,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5822-1/01,Edição integrada à impressão de jornais diários,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5822-1/02,Edição integrada à impressão de jornais não diários,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5823-9/00,Edição integrada à impressão de revistas,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5829-8/00,"Edição integrada à impressão de cadastros, listas e outros produtos gráficos","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5911-1/02,Produção de filmes para publicidade,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5911-1/99,"Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5912-0/01,Serviços de dublagem,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5912-0/02,Serviços de mixagem sonora em produção audiovisual,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5912-0/99,"Atividades de pós- produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5913-8/00,"Distribuição cinematográfica, de vídeo e de programas de televisão","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
5920-1/00,Atividades de gravação de som e de edição de música,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
6010-1/00,Atividades de rádio,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
6022-5/01,Programadoras,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
6022-5/02,"Atividades relacionadas à televisão por assinatura, exceto programadoras","- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
6110-8/01,Serviços de telefonia fixa comutada - STFC,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
6110-8/02,Serviços de redes de transporte de telecomunicações - SRTT,"- Desde que seja escritório da empresa | - Desde que não esteja em imóvel residencial (casa, apartamento), galpão, terreno, lote, box, quiosque, container, | - Desde que a área utilizada não ultrapasse 1.250m² (mil duzentos e cinquenta metros quadrados).",BAIXO A
